Name of Applicant,Grant Category,Grant Amount,Grant Fiscal Year,Community Focus Combined,Community Focus: African American,Community Focus: Asian American,Community Focus: Disabled,Community Focus: Immigrant,Community Focus: L/G/B/T/Q,Community Focus: Latino American,Community Focus: Multiple People of Color,Community Focus: Native,Community Focus: Native American,Community Focus: Pacific Islander,Community Focus: Transgender,Community Focus: Women,Community Focus: No specified focus
Asian Women’s Shelter,Arts and Community Innovative Partnership (ACIP) ,$25000.00,01/01/2010 12:00:00 AM,"Asian American
Women",false,true,false,false,false,false,false,false,false,false,false,true,false
Chinese Culture Foundation of San Francisco,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2010 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Chinese Progressive Association,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2010 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Croatian American Cultural Center,Arts and Community Innovative Partnership (ACIP) ,$25000.00,01/01/2010 12:00:00 AM,Immigrant,false,false,false,true,false,false,false,false,false,false,false,false,false
Dance Brigade,Arts and Community Innovative Partnership (ACIP) ,$20000.00,01/01/2010 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Deanne Morizono Myers,Arts and Community Innovative Partnership (ACIP) ,$22500.00,01/01/2010 12:00:00 AM,"Asian American
Women",false,true,false,false,false,false,false,false,false,false,false,true,false
Fifth Stream Music,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2010 12:00:00 AM,Multiple People of Color,false,false,false,false,false,false,true,false,false,false,false,false,false
Flyaway Productions,Arts and Community Innovative Partnership (ACIP) ,$22500.00,01/01/2010 12:00:00 AM,Women,false,false,false,false,false,false,false,false,false,false,false,true,false
GK Callahan,Arts and Community Innovative Partnership (ACIP) ,$20000.00,01/01/2010 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Intersection for the Arts,Arts and Community Innovative Partnership (ACIP) ,$18750.00,01/01/2010 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Kulintang Arts Inc.,Arts and Community Innovative Partnership (ACIP) ,$22500.00,01/01/2010 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Mary Jean Robertson,Arts and Community Innovative Partnership (ACIP) ,$25000.00,01/01/2010 12:00:00 AM,"Native American
Women",false,false,false,false,false,false,false,false,true,false,false,true,false
Queer Cultural Center,Arts and Community Innovative Partnership (ACIP) ,$25000.00,01/01/2010 12:00:00 AM,L/G/B/T/Q,false,false,false,false,true,false,false,false,false,false,false,false,false
Raissa Simpson,Arts and Community Innovative Partnership (ACIP) ,$22500.00,01/01/2010 12:00:00 AM,Multiple People of Color,false,false,false,false,false,false,true,false,false,false,false,false,false
Ruby’s Clay Studio and Gallery,Arts and Community Innovative Partnership (ACIP) ,$20000.00,01/01/2010 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Youth Art Exchange,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2010 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
African Advocacy Network,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2011 12:00:00 AM,"African American
Immigrant",true,false,false,true,false,false,false,false,false,false,false,false,false
Arab Cultural and Community Center,Arts and Community Innovative Partnership (ACIP) ,$23000.00,01/01/2011 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Asian American Women Artists Association (AAWAA),Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2011 12:00:00 AM,"Asian American
Women",false,true,false,false,false,false,false,false,false,false,false,true,false
Bayview Hunters Point Center for Arts & Technology (BAYCAT),Arts and Community Innovative Partnership (ACIP) ,$20250.00,01/01/2011 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Chinese Culture Foundation of San Francisco,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2011 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
CounterPULSE,Arts and Community Innovative Partnership (ACIP) ,$20250.00,01/01/2011 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Eldergivers,Arts and Community Innovative Partnership (ACIP) ,$23000.00,01/01/2011 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Galeria de la Raza,Arts and Community Innovative Partnership (ACIP) ,$21850.00,01/01/2011 12:00:00 AM,Latino American,false,false,false,false,false,true,false,false,false,false,false,false,false
Genny Lim,Arts and Community Innovative Partnership (ACIP) ,$6000.00,01/01/2011 12:00:00 AM,"Asian American
Women",false,true,false,false,false,false,false,false,false,false,false,true,false
Golden Thread Productions,Arts and Community Innovative Partnership (ACIP) ,$20250.00,01/01/2011 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Golden Thread Productions,Arts and Community Innovative Partnership (ACIP) ,$20250.00,01/01/2011 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Imagine Bus Project,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2011 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Intersection for the Arts,Arts and Community Innovative Partnership (ACIP) ,$20250.00,01/01/2011 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Outlook Theater Project,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2011 12:00:00 AM,L/G/B/T/Q,false,false,false,false,true,false,false,false,false,false,false,false,false
Paul Flores,Arts and Community Innovative Partnership (ACIP) ,$20250.00,01/01/2011 12:00:00 AM,Latino American,false,false,false,false,false,true,false,false,false,false,false,false,false
Queer Cultural Center,Arts and Community Innovative Partnership (ACIP) ,$23000.00,01/01/2011 12:00:00 AM,L/G/B/T/Q,false,false,false,false,true,false,false,false,false,false,false,false,false
Rene Yung,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2011 12:00:00 AM,"Asian American
Women",false,true,false,false,false,false,false,false,false,false,false,true,false
Voice of Witness,Arts and Community Innovative Partnership (ACIP) ,$9500.00,01/01/2011 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Youth Art Exchange,Arts and Community Innovative Partnership (ACIP) ,$23000.00,01/01/2011 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
African Advocacy Network,Arts and Community Innovative Partnership (ACIP) ,$22500.00,01/01/2012 12:00:00 AM,"African American
Immigrant",true,false,false,true,false,false,false,false,false,false,false,false,false
Ana Teresa Fernandez,Arts and Community Innovative Partnership (ACIP) ,$9500.00,01/01/2012 12:00:00 AM,Immigrant,false,false,false,true,false,false,false,false,false,false,false,false,false
Au Co Vietnamese Cultural Center,Arts and Community Innovative Partnership (ACIP) ,$9500.00,01/01/2012 12:00:00 AM,"Asian American
Immigrant",false,true,false,true,false,false,false,false,false,false,false,false,false
Croatian American Cultural Center,Arts and Community Innovative Partnership (ACIP) ,$25000.00,01/01/2012 12:00:00 AM,Immigrant,false,false,false,true,false,false,false,false,false,false,false,false,false
Imagine Bus Project,Arts and Community Innovative Partnership (ACIP) ,$25000.00,01/01/2012 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Kulintang Arts Inc.,Arts and Community Innovative Partnership (ACIP) ,$25000.00,01/01/2012 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Lenora Lee Dance,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2012 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Mary Jean Robertson,Arts and Community Innovative Partnership (ACIP) ,$25000.00,01/01/2012 12:00:00 AM,Native American,false,false,false,false,false,false,false,false,true,false,false,false,false
Pearl Ubungen Dancers and Musicians,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2012 12:00:00 AM,"Asian American
Women",false,true,false,false,false,false,false,false,false,false,false,true,false
Push Dance Company,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2012 12:00:00 AM,Multiple People of Color,false,false,false,false,false,false,true,false,false,false,false,false,false
Queer Cultural Center,Arts and Community Innovative Partnership (ACIP) ,$23750.00,01/01/2012 12:00:00 AM,L/G/B/T/Q,false,false,false,false,true,false,false,false,false,false,false,false,false
Root Division,Arts and Community Innovative Partnership (ACIP) ,$15000.00,01/01/2012 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
StageWrite,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2012 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Voice of Witness,Arts and Community Innovative Partnership (ACIP) ,$25000.00,01/01/2012 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Chinese Culture Foundation of San Francisco,Arts and Community Innovative Partnership (ACIP) ,$25000.00,01/01/2013 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Genny Lim,Arts and Community Innovative Partnership (ACIP) ,$13835.00,01/01/2013 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Push Dance Company,Arts and Community Innovative Partnership (ACIP) ,$25000.00,01/01/2013 12:00:00 AM,Multiple People of Color,false,false,false,false,false,false,true,false,false,false,false,false,false
Rene Yung,Arts and Community Innovative Partnership (ACIP) ,$25000.00,01/01/2013 12:00:00 AM,"Asian American
Women",false,true,false,false,false,false,false,false,false,false,false,true,false
StageWrite,Arts and Community Innovative Partnership (ACIP) ,$25000.00,01/01/2013 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Anne Bluethenthal and Dancers (ABD Productions),Arts and Community Innovative Partnership (ACIP) ,$15000.00,01/01/2014 12:00:00 AM,Women,false,false,false,false,false,false,false,false,false,false,false,true,false
Asian American Women Artists Association (AAWAA),Arts and Community Innovative Partnership (ACIP) ,$25000.00,01/01/2014 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Au Co Vietnamese Cultural Center,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2014 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Chinese Culture Foundation of San Francisco,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2014 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Chinese Progressive Association,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2014 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
CounterPULSE,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2014 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Elizabeth Gjelten,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2014 12:00:00 AM,Women,false,false,false,false,false,false,false,false,false,false,false,true,false
Emelle Sonh,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2014 12:00:00 AM,Women,false,false,false,false,false,false,false,false,false,false,false,true,false
Hospitality House,Arts and Community Innovative Partnership (ACIP) ,$25000.00,01/01/2014 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Jerome Reyes,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2014 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Kulintang Arts Inc.,Arts and Community Innovative Partnership (ACIP) ,$25000.00,01/01/2014 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Navarette x Kajiyama Dance Theater,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2014 12:00:00 AM,Multiple People of Color,false,false,false,false,false,false,true,false,false,false,false,false,false
Queer Cultural Center,Arts and Community Innovative Partnership (ACIP) ,$25000.00,01/01/2014 12:00:00 AM,L/G/B/T/Q,false,false,false,false,true,false,false,false,false,false,false,false,false
Root Division,Arts and Community Innovative Partnership (ACIP) ,$20000.00,01/01/2014 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Small Press Traffic Literary Arts Center,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2014 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Youth Art Exchange,Arts and Community Innovative Partnership (ACIP) ,$25000.00,01/01/2014 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Excelsior Action Group,Arts for Neighborhood Vitality (ANV),$2500.00,01/01/2011 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Genryu Arts,Arts for Neighborhood Vitality (ANV),$2500.00,01/01/2011 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Marigold Project,Arts for Neighborhood Vitality (ANV),$2500.00,01/01/2011 12:00:00 AM,Latino American,false,false,false,false,false,true,false,false,false,false,false,false,false
OMI Cultural Participation Project,Arts for Neighborhood Vitality (ANV),$2500.00,01/01/2011 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Richmond District Neighborhood Center,Arts for Neighborhood Vitality (ANV),$2500.00,01/01/2011 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Urban Solutions,Arts for Neighborhood Vitality (ANV),$2500.00,01/01/2011 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Bernal Heights Outdoor Cinema,Arts for Neighborhood Vitality (ANV),$3000.00,01/01/2012 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Chinese Culture Foundation of San Francisco,Arts for Neighborhood Vitality (ANV),$3000.00,01/01/2012 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Chinese Historical Society of America,Arts for Neighborhood Vitality (ANV),$3000.00,01/01/2012 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Come Out and Play San Francisco,Arts for Neighborhood Vitality (ANV),$3000.00,01/01/2012 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Excelsior Action Group,Arts for Neighborhood Vitality (ANV),$3000.00,01/01/2012 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Genryu Arts,Arts for Neighborhood Vitality (ANV),$3000.00,01/01/2012 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Kulintang Arts Inc.,Arts for Neighborhood Vitality (ANV),$3000.00,01/01/2012 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Marigold Project,Arts for Neighborhood Vitality (ANV),$2750.00,01/01/2012 12:00:00 AM,Latino American,false,false,false,false,false,true,false,false,false,false,false,false,false
The Bay Bridged,Arts for Neighborhood Vitality (ANV),$3000.00,01/01/2012 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Youth Art Exchange,Arts for Neighborhood Vitality (ANV),$3000.00,01/01/2012 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Acción Latina,Arts for Neighborhood Vitality (ANV),$3000.00,01/01/2013 12:00:00 AM,"Latino American
Women",false,false,false,false,false,true,false,false,false,false,false,true,false
Chinese Culture Foundation of San Francisco,Arts for Neighborhood Vitality (ANV),$3000.00,01/01/2013 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Chinese Historical Society of America,Arts for Neighborhood Vitality (ANV),$3000.00,01/01/2013 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Come Out and Play San Francisco,Arts for Neighborhood Vitality (ANV),$2500.00,01/01/2013 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Excelsior Action Group,Arts for Neighborhood Vitality (ANV),$2500.00,01/01/2013 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Genryu Arts,Arts for Neighborhood Vitality (ANV),$3000.00,01/01/2013 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Mendell Plaza Presents,Arts for Neighborhood Vitality (ANV),$3000.00,01/01/2013 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Richmond District Neighborhood Center,Arts for Neighborhood Vitality (ANV),$3000.00,01/01/2013 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Sunset District Neighborhood Coalition,Arts for Neighborhood Vitality (ANV),$3000.00,01/01/2013 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Youth Art Exchange,Arts for Neighborhood Vitality (ANV),$3000.00,01/01/2013 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Bernal Heights Outdoor Cinema,Arts for Neighborhood Vitality (ANV),$3000.00,01/01/2014 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Brava Theater Center/Brava! For Women in the Arts,Arts for Neighborhood Vitality (ANV),$3000.00,01/01/2014 12:00:00 AM,Latino American,false,false,false,false,false,true,false,false,false,false,false,false,false
Chinese Culture Foundation of San Francisco,Arts for Neighborhood Vitality (ANV),$3000.00,01/01/2014 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
CounterPULSE,Arts for Neighborhood Vitality (ANV),$3000.00,01/01/2014 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Excelsior Action Group,Arts for Neighborhood Vitality (ANV),$3000.00,01/01/2014 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Genryu Arts,Arts for Neighborhood Vitality (ANV),$3000.00,01/01/2014 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Marigold Project,Arts for Neighborhood Vitality (ANV),$3000.00,01/01/2014 12:00:00 AM,Latino American,false,false,false,false,false,true,false,false,false,false,false,false,false
"Precita Eyes Muralists Association, Inc.",Arts for Neighborhood Vitality (ANV),$3000.00,01/01/2014 12:00:00 AM,Latino American,false,false,false,false,false,true,false,false,false,false,false,false,false
The Bay Bridged,Arts for Neighborhood Vitality (ANV),$3000.00,01/01/2014 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Youth Art Exchange,Arts for Neighborhood Vitality (ANV),$3000.00,01/01/2014 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Cartoon Art Museum,Creative Space (CRSP),$9000.00,01/01/2010 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Chinese Historical Society of America,Creative Space (CRSP),$20000.00,01/01/2010 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
EXIT Theater,Creative Space (CRSP),$20000.00,01/01/2010 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Manilatown Heritage Foundation,Creative Space (CRSP),$10000.00,01/01/2010 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Museum of Performance and Design,Creative Space (CRSP),$10000.00,01/01/2010 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
New Conservatory Theatre Center,Creative Space (CRSP),$9744.00,01/01/2010 12:00:00 AM,L/G/B/T/Q,false,false,false,false,true,false,false,false,false,false,false,false,false
Ninth Street Independent Film Center,Creative Space (CRSP),$4995.00,01/01/2010 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
ODC Theater,Creative Space (CRSP),$20000.00,01/01/2010 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
San Francisco Camerawork,Creative Space (CRSP),$20000.00,01/01/2010 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Z Space Studio,Creative Space (CRSP),$20000.00,01/01/2010 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
ZACCHO Dance Theatre,Creative Space (CRSP),$6750.00,01/01/2010 12:00:00 AM,African American,true,false,false,false,false,false,false,false,false,false,false,false,false
509 Cultural Center / The Luggage Store,Creative Space (CRSP),$18000.00,01/01/2011 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Bindlestiff Studio,Creative Space (CRSP),$16000.00,01/01/2011 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Cartoon Art Museum,Creative Space (CRSP),$11140.00,01/01/2011 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Chinese Cultural Productions,Creative Space (CRSP),$16000.00,01/01/2011 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Chinese Culture Foundation of San Francisco,Creative Space (CRSP),$13500.00,01/01/2011 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Chinese Historical Society of America,Creative Space (CRSP),$15200.00,01/01/2011 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
CounterPULSE,Creative Space (CRSP),$18000.00,01/01/2011 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Croatian American Cultural Center,Creative Space (CRSP),$16000.00,01/01/2011 12:00:00 AM,Immigrant,false,false,false,true,false,false,false,false,false,false,false,false,false
Intersection for the Arts,Creative Space (CRSP),$13500.00,01/01/2011 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
San Francisco Mime Troupe,Creative Space (CRSP),$16875.00,01/01/2011 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Women’s Audio Mission,Creative Space (CRSP),$6100.00,01/01/2011 12:00:00 AM,Women,false,false,false,false,false,false,false,false,false,false,false,true,false
Z Space Studio,Creative Space (CRSP),$16000.00,01/01/2011 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
509 Cultural Center / The luggage store,Creative Space (CRSP),$18000.00,01/01/2012 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Bayview Hunters Point Center for Arts & Technology (BAYCAT),Creative Space (CRSP),$16200.00,01/01/2012 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Center for Sex and Culture,Creative Space (CRSP),$16150.00,01/01/2012 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Chinese Cultural Productions,Creative Space (CRSP),$16150.00,01/01/2012 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Chinese Culture Foundation of San Francisco,Creative Space (CRSP),$18000.00,01/01/2012 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
CounterPULSE,Creative Space (CRSP),$9000.00,01/01/2012 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Dance Brigade,Creative Space (CRSP),$18000.00,01/01/2012 12:00:00 AM,Women,false,false,false,false,false,false,false,false,false,false,false,true,false
EXIT Theater,Creative Space (CRSP),$18000.00,01/01/2012 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Joe Goode Performance Group,Creative Space (CRSP),$18000.00,01/01/2012 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
"Precita Eyes Muralists Association, Inc.",Creative Space (CRSP),$17111.00,01/01/2012 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
San Francisco Playhouse,Creative Space (CRSP),$12750.00,01/01/2012 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Theatre of Yugen,Creative Space (CRSP),$4275.00,01/01/2012 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
ABADA Capoeira San Francisco,Creative Space (CRSP),$15000.00,01/01/2014 12:00:00 AM,Latino American,false,false,false,false,false,true,false,false,false,false,false,false,false
Acción Latina,Creative Space (CRSP),$20000.00,01/01/2014 12:00:00 AM,Latino American,false,false,false,false,false,true,false,false,false,false,false,false,false
Brava Theater Center/Brava! For Women in the Arts,Creative Space (CRSP),$50000.00,01/01/2014 12:00:00 AM,Women,false,false,false,false,false,false,false,false,false,false,false,true,false
Chinese Historical Society of America,Creative Space (CRSP),$16000.00,01/01/2014 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
CounterPULSE,Creative Space (CRSP),$50000.00,01/01/2014 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Croatian American Cultural Center,Creative Space (CRSP),$20000.00,01/01/2014 12:00:00 AM,Immigrant,false,false,false,true,false,false,false,false,false,false,false,false,false
Joe Goode Performance Group,Creative Space (CRSP),$20000.00,01/01/2014 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
San Francisco Mime Troupe,Creative Space (CRSP),$37680.00,01/01/2014 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Women’s Audio Mission,Creative Space (CRSP),$40000.00,01/01/2014 12:00:00 AM,Women,false,false,false,false,false,false,false,false,false,false,false,true,false
African American Art & Culture Complex,Cultural Center,$307055.00,01/01/2004 12:00:00 AM,African American,true,false,false,false,false,false,false,false,false,false,false,false,false
Asian Pacific Islander Cultural Center,Cultural Center,$84847.00,01/01/2004 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Bayview Opera House Ruth Williams Memorial Theater,Cultural Center,$234825.00,01/01/2004 12:00:00 AM,African American,true,false,false,false,false,false,false,false,false,false,false,false,false
Mission Cultural Center for Latino American Arts,Cultural Center,$395406.00,01/01/2004 12:00:00 AM,Latino American,false,false,false,false,false,true,false,false,false,false,false,false,false
Native American Cultural Center,Cultural Center,$84847.00,01/01/2004 12:00:00 AM,Native ,false,false,false,false,false,false,false,true,false,false,false,false,false
Queer Cultural Center,Cultural Center,$84847.00,01/01/2004 12:00:00 AM,L/G/B/T/Q,false,false,false,false,true,false,false,false,false,false,false,false,false
SOMArts Cultural Centers,Cultural Center,$404973.00,01/01/2004 12:00:00 AM,Multiple People of Color,false,false,false,false,false,false,true,false,false,false,false,false,false
African American Art & Culture Complex,Cultural Center,$388498.00,01/01/2005 12:00:00 AM,African American,true,false,false,false,false,false,false,false,false,false,false,false,false
Asian Pacific Islander Cultural Center,Cultural Center,$89985.00,01/01/2005 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Bayview Opera House Ruth Williams Memorial Theater,Cultural Center,$290114.00,01/01/2005 12:00:00 AM,African American,true,false,false,false,false,false,false,false,false,false,false,false,false
Mission Cultural Center for Latino American Arts,Cultural Center,$488198.00,01/01/2005 12:00:00 AM,Latino American,false,false,false,false,false,true,false,false,false,false,false,false,false
Native American Cultural Center,Cultural Center,$89985.00,01/01/2005 12:00:00 AM,Native ,false,false,false,false,false,false,false,true,false,false,false,false,false
Queer Cultural Center,Cultural Center,$89985.00,01/01/2005 12:00:00 AM,L/G/B/T/Q,false,false,false,false,true,false,false,false,false,false,false,false,false
SOMArts Cultural Centers,Cultural Center,$544950.00,01/01/2005 12:00:00 AM,Multiple People of Color,false,false,false,false,false,false,true,false,false,false,false,false,false
African American Art & Culture Complex,Cultural Center,$405182.00,01/01/2006 12:00:00 AM,African American,true,false,false,false,false,false,false,false,false,false,false,false,false
Asian Pacific Islander Cultural Center,Cultural Center,$94422.00,01/01/2006 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
